MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT6_ST149,,,Africa,,,,
MGT6_ST153,,,Europe,,,,
MGT6_ST1531,,,North America,,,,
MGT6_ST1532,,,North America,,,,
MGT6_ST1534,,,North America,,,,
MGT6_ST1536,,,North America,,,,
MGT6_ST1537,,,North America,,,,
MGT6_ST1544,,,North America,,,,
MGT6_ST1549,,,North America,,,,
MGT6_ST1551,,,North America,,,,
MGT6_ST1559,,,North America,,,,
MGT6_ST1565,,,Europe,,,,
MGT6_ST1571,,,Europe,,,,
MGT6_ST1574,,,Europe,,,,
MGT6_ST1581,,,Europe,,,,
MGT6_ST1586,,,Europe,,,,
MGT6_ST1589,,,Europe,,,,
MGT6_ST16,,,Europe,,,,
MGT6_ST1600,,,Europe,,,,
MGT6_ST1625,,,Europe,,,,
MGT6_ST1633,,,Europe,,,,
MGT6_ST1642,,,Europe,,,,
MGT6_ST1645,,,Europe,,,,
MGT6_ST1655,,,Europe,,,,
MGT6_ST1672,,,North America,,,,
MGT6_ST1674,,,Europe,,,,
MGT6_ST1677,,,Europe,,,,
MGT6_ST1683,,,Europe,,,,
MGT6_ST1698,,,Europe,,,,
MGT6_ST1699,,,Europe,,,,
MGT6_ST17,,,Africa,,,,
MGT6_ST1701,,,Europe,,,,
MGT6_ST1734,,,Europe,,,,
MGT6_ST1753,,,Europe,,,,
MGT6_ST1768,,,Europe,,,,
MGT6_ST1785,,,Europe,,,,
MGT6_ST1818,,,Europe,,,,
MGT6_ST1820,,,Europe,,,,
MGT6_ST1878,,,North America,,,,
MGT6_ST19,,,Europe,,,,
MGT6_ST1900,,,North America,,,,
MGT6_ST1915,,,North America,,,,
MGT6_ST1929,,,North America,,,,
MGT6_ST1937,,,North America,,,,
MGT6_ST1945,,,North America,,,,
MGT6_ST1957,,,North America,,,,
MGT6_ST1958,,,North America,,,,
MGT6_ST1965,,,North America,,,,
MGT6_ST1977,,,North America,,,,
MGT6_ST1982,,,North America,,,,
MGT6_ST1995,,,North America,,,,
MGT6_ST2009,,,North America,,,,
MGT6_ST2021,,,North America,,,,
MGT6_ST2022,,,North America,,,,
MGT6_ST2039,,,North America,,,,
MGT6_ST2055,,,North America,,,,
MGT6_ST2059,,,North America,,,,
MGT6_ST2062,,,North America,,,,
MGT6_ST209,,,Europe,,,,
MGT6_ST2104,,,,,,,
MGT6_ST220,,,North America,,,,
MGT6_ST2202,,,North America,,,,
MGT6_ST2209,,,North America,,,,
MGT6_ST227,,,North America,,,,
MGT6_ST2271,,,North America,,,,
MGT6_ST2278,,,North America,,,,
MGT6_ST2279,,,North America,,,,
MGT6_ST232,,,North America,,,,
MGT6_ST2323,,,North America,,,,
MGT6_ST2334,,,North America,,,,
MGT6_ST234,,,North America,,,,
MGT6_ST240,,,North America,,,,
MGT6_ST2432,,,North America,,,,
MGT6_ST2457,,,North America,,,,
MGT6_ST247,,,North America,,,,
MGT6_ST2540,,,North America,,,,
MGT6_ST255,,,North America,,,,
MGT6_ST256,,,North America,,,,
MGT6_ST257,,,North America,,,,
MGT6_ST2587,,,North America,,,,
MGT6_ST259,,,North America,,,,
MGT6_ST2606,,,North America,,,,
MGT6_ST2619,,,,,,,
MGT6_ST263,,,North America,,,,
MGT6_ST266,,,North America,,,,
MGT6_ST2669,,,Europe,,,,
MGT6_ST267,,,North America,,,,
MGT6_ST2692,,,Europe,,,,
MGT6_ST2698,,,North America,,,,MGT6_ST2698
MGT6_ST2733,,,North America,,,,
MGT6_ST2741,,,North America,,,,
MGT6_ST2754,,,North America,,,,
MGT6_ST2766,,,North America,,,,
MGT6_ST277,,,North America,,,,
MGT6_ST2776,,,North America,,,,
MGT6_ST2797,,,North America,,,,
MGT6_ST28,,,Europe,,,,
MGT6_ST2800,,,North America,,,,
MGT6_ST2805,,,North America,,,,
MGT6_ST2810,,,North America,,,,
MGT6_ST288,,,North America,,,,
MGT6_ST29,,,Europe,,,,
MGT6_ST2916,,,Africa,,,,
MGT6_ST301,,,North America,,,,
MGT6_ST3029,,,North America,,,,
MGT6_ST3059,,,Europe,,,,
MGT6_ST3064,,,Europe,,,,
MGT6_ST3077,,,Europe,,,,
MGT6_ST3084,,,Europe,,,,
MGT6_ST3085,,,Europe,,,,
MGT6_ST309,,,North America,,,,
MGT6_ST3114,,,North America,,,,
MGT6_ST3151,,,North America,,,,
MGT6_ST3162,,,North America,,,,
MGT6_ST3163,,,North America,,,,
MGT6_ST3166,,,North America,,,,
MGT6_ST317,,,North America,,,,
MGT6_ST319,,,North America,,,,
MGT6_ST324,,,North America,,,,
MGT6_ST3250,,,North America,,,,
MGT6_ST3284,,,,,,,
MGT6_ST329,,,North America,,,,
MGT6_ST333,,,North America,,,,
MGT6_ST3337,,,North America,,,,
MGT6_ST334,,,North America,,,,
MGT6_ST3341,,,North America,,,,
MGT6_ST3347,,,North America,,,,
MGT6_ST337,,,Europe,,,,
MGT6_ST3373,,,North America,,,,
MGT6_ST34,,,Europe,,,,
MGT6_ST340,,,Europe,,,,
MGT6_ST3430,,,Europe,,,,
MGT6_ST346,,,Europe,,,,
MGT6_ST35,,,Europe,,,,
MGT6_ST3592,,,Europe,,,,
MGT6_ST3594,,,Europe,,,,
MGT6_ST360,,,North America,,,,
MGT6_ST3601,,,Europe,,,,
MGT6_ST3643,,,Europe,,,,
MGT6_ST367,,,North America,,,,
MGT6_ST3673,,,,,,,
MGT6_ST3681,,,Europe,,,,
MGT6_ST3684,,,Europe,,,,
MGT6_ST3712,,,Europe,,,,
MGT6_ST377,,,North America,,,,
MGT6_ST378,,,North America,,,,
MGT6_ST3805,,,North America,,,,
MGT6_ST3939,,,North America,,,,
MGT6_ST397,,,North America,,,,
MGT6_ST3980,,,North America,,,,
MGT6_ST40,,,Europe,,,,
MGT6_ST401,,,North America,,,,
MGT6_ST4023,,,Europe,,,,
MGT6_ST405,,,Europe,,,,
MGT6_ST41,,,Europe,,,,
MGT6_ST411,,,Europe,,,,
MGT6_ST4141,,,Asia,,,,
MGT6_ST4162,,,Europe,,,,
MGT6_ST4182,,,Europe,,,,
MGT6_ST419,,,Europe,,,,
MGT6_ST4204,,,Europe,,,,
MGT6_ST421,,,Europe,,,,
MGT6_ST4212,,,Europe,,,,
MGT6_ST4227,,,Europe,,,,
MGT6_ST424,,,Europe,,,,
MGT6_ST4242,,,Europe,,,,
MGT6_ST4256,,,Europe,,,,
MGT6_ST4269,,,Europe,,,,
MGT6_ST428,,,Europe,,,,
MGT6_ST4285,,,Europe,,,,
MGT6_ST429,,,Europe,,,,
MGT6_ST4296,,,Europe,,,,
MGT6_ST431,,,Europe,,,,
MGT6_ST432,,,Europe,,,,
MGT6_ST4339,,,Europe,,,,
MGT6_ST434,,,Europe,,,,
MGT6_ST437,,,Europe,,,,
MGT6_ST4393,,,Europe,,,,
MGT6_ST449,,,Europe,,,,
MGT6_ST463,,,Europe,,,,
MGT6_ST470,,,Europe,,,,
MGT6_ST471,,,Europe,,,,
MGT6_ST4726,,,Europe,,,,
MGT6_ST476,,,Europe,,,,
MGT6_ST4816,,,Europe,,,,
MGT6_ST482,,,North America,,,,
MGT6_ST484,,,North America,,,,
MGT6_ST4896,,,North America,,,,
MGT6_ST4945,,,North America,,,,
MGT6_ST495,,,North America,,,,
MGT6_ST496,,,North America,,,,
MGT6_ST497,,,North America,,,,
MGT6_ST498,,,Europe,,,,
MGT6_ST4980,,,North America,,,,
MGT6_ST501,,,North America,,,,
MGT6_ST504,,,North America,,,,
MGT6_ST505,,,North America,,,,
MGT6_ST506,,,North America,,,,
MGT6_ST509,,,North America,,,,
MGT6_ST5114,,,,,,,MGT6_ST5114
MGT6_ST514,,,South America,,,,
MGT6_ST516,,,South America,,,,
MGT6_ST520,,,North America,,,,
MGT6_ST5225,,,North America,,,,
MGT6_ST526,,,North America,,,,
MGT6_ST529,,,North America,,,,
MGT6_ST5297,,,,,,,MGT6_ST5297
MGT6_ST5318,,,North America,,,,
MGT6_ST535,,,North America,,,,
MGT6_ST550,,,Europe,,,,
MGT6_ST554,,,Europe,,,,
MGT6_ST5567,,,North America,,,,
MGT6_ST557,,,Africa,,,,
MGT6_ST5574,,,North America,,,,
MGT6_ST5589,,,North America,,,,
MGT6_ST559,,,North America,,,,
MGT6_ST56,,,Europe,,,,
MGT6_ST5605,,,North America,,,,
MGT6_ST5651,,,North America,,,,
MGT6_ST5655,,,North America,,,,
MGT6_ST566,,,North America,,,,
MGT6_ST568,,,North America,,,,
MGT6_ST571,,,North America,,,,
MGT6_ST5717,,,North America,,,,
MGT6_ST576,,,Europe,,,,
MGT6_ST578,,,Europe,,,,
MGT6_ST5783,,,North America,,,,
MGT6_ST5837,,,North America,,,,
MGT6_ST584,,,Europe,,,,
MGT6_ST5857,,,,,,,
MGT6_ST589,,,Europe,,,,
MGT6_ST5895,,,North America,,,,
MGT6_ST5900,,,North America,,,,
MGT6_ST5936,,,North America,,,,
MGT6_ST5955,,,North America,,,,
MGT6_ST600,,,North America,,,,
MGT6_ST6000,,,North America,,,,
MGT6_ST6070,,,,,,,
MGT6_ST6093,,,North America,,,,
MGT6_ST613,,,North America,,,,
MGT6_ST6142,,,North America,,,,
MGT6_ST616,,,North America,,,,
MGT6_ST620,,,North America,,,,
MGT6_ST6200,,,North America,,,,
MGT6_ST627,,,North America,,,,
MGT6_ST631,,,North America,,,,
MGT6_ST6342,,,North America,,,,
MGT6_ST635,,,North America,,,,
MGT6_ST6403,,,North America,,,,
MGT6_ST6450,,,North America,,,,
MGT6_ST647,,,North America,,,,
MGT6_ST6516,,,North America,,,,
MGT6_ST654,,,North America,,,,
MGT6_ST6578,,,North America,,,,
MGT6_ST659,,,North America,,,,
MGT6_ST661,,,North America,,,,
MGT6_ST665,,,Europe,,,,
MGT6_ST675,,,North America,,,,
MGT6_ST681,,,North America,,,,
MGT6_ST687,,,South America,,,,
MGT6_ST689,,,South America,,,,
MGT6_ST6946,,,North America,,,,
MGT6_ST696,,,South America,,,,
MGT6_ST71,,,Europe,,,,
MGT6_ST747,,,Europe,,,,
MGT6_ST748,,,Europe,,,,
MGT6_ST749,,,Europe,,,,
MGT6_ST750,,,Europe,,,,
MGT6_ST752,,,Europe,,,,
MGT6_ST755,,,Europe,,,,
MGT6_ST757,,,Europe,,,,
MGT6_ST769,,,Europe,,,,
MGT6_ST773,,,Europe,,,,
MGT6_ST777,,,,,,,
MGT6_ST793,,,Europe,,,,
MGT6_ST805,,,Europe,,,,
MGT6_ST810,,,North America,,,,
MGT6_ST814,,,Europe,,,,
MGT6_ST816,,,Europe,,,,
MGT6_ST822,,,Europe,,,,
MGT6_ST823,,,Europe,,,,
MGT6_ST826,,,Europe,,,,
MGT6_ST828,,,Europe,,,,
MGT6_ST835,,,Europe,,,,
MGT6_ST844,,,North America,,,,
MGT6_ST846,,,North America,,,,
MGT6_ST847,,,North America,,,,
MGT6_ST855,,,North America,,,,
MGT6_ST856,,,North America,,,,
MGT6_ST863,,,North America,,,,
MGT6_ST864,,,North America,,,,
MGT6_ST865,,,North America,,,,
MGT6_ST868,,,North America,,,,
MGT6_ST884,,,North America,,,,
MGT6_ST887,,,North America,,,,
MGT6_ST888,,,North America,,,,
MGT6_ST892,,,North America,,,,
MGT6_ST943,,,North America,,,,
MGT6_ST945,,,North America,,,,
MGT6_ST952,,,North America,,,,
MGT6_ST953,,,North America,,,,
MGT6_ST955,,,North America,,,,
MGT6_ST956,,,North America,,,,
MGT6_ST961,,,North America,,,,
MGT6_ST966,,,North America,,,,
MGT6_ST967,,,North America,,,,
MGT6_ST971,,,North America,,,,
MGT6_ST980,,,North America,,,,
MGT6_ST984,,,North America,,,,
MGT6_ST986,,,North America,,,,
MGT6_ST99,,,Europe,,,,
MGT7_ST1000,,,North America,,,,
MGT7_ST1010,,,North America,,,,
MGT7_ST1017,,,North America,,,,
MGT7_ST1020,,,North America,,,,
MGT7_ST1021,,,North America,,,,
MGT7_ST10216,,,North America,,,,
MGT7_ST1022,,,North America,,,,
MGT7_ST1024,,,North America,,,,
MGT7_ST1026,,,North America,,,,
MGT7_ST10357,,,North America,,,,
MGT7_ST1046,,,Europe,,,,
MGT7_ST1047,,,North America,,,,
MGT7_ST1050,,,North America,,,,
MGT7_ST1053,,,North America,,,,
MGT7_ST1055,,,North America,,,,
MGT7_ST1059,,,Europe,,,,
MGT7_ST1060,,,North America,,,,
MGT7_ST107,,,Europe,,,,
MGT7_ST1081,,,Europe,,,,
MGT7_ST1090,,,North America,,,,
MGT7_ST1091,,,North America,,,,
MGT7_ST1093,,,North America,,,,
MGT7_ST1094,,,North America,,,,
MGT7_ST1100,,,North America,,,,
MGT7_ST1102,,,North America,,,,
MGT7_ST1110,,,North America,,,,
MGT7_ST1122,,,North America,,,,
MGT7_ST1151,,,North America,,,,
MGT7_ST1155,,,North America,,,,
MGT7_ST1159,,,North America,,,,
MGT7_ST1161,,,North America,,,,
MGT7_ST1163,,,North America,,,,
MGT7_ST1164,,,North America,,,,
MGT7_ST1178,,,North America,,,,
MGT7_ST1199,,,Europe,,,,
MGT7_ST1204,,,Europe,,,,
MGT7_ST1206,,,Europe,,,,
MGT7_ST1219,,,Europe,,,,
MGT7_ST123,,,Europe,,,,
MGT7_ST124,,,Europe,,,,
MGT7_ST125,,,Europe,,,,
MGT7_ST1261,,,Europe,,,,
MGT7_ST1262,,,Europe,,,,
MGT7_ST1267,,,Europe,,,,
MGT7_ST1275,,,Europe,,,,
MGT7_ST1277,,,Europe,,,,
MGT7_ST1281,,,Europe,,,,
MGT7_ST1290,,,Europe,,,,
MGT7_ST1305,,,North America,,,,
MGT7_ST1330,,,Europe,,,,
MGT7_ST14007,,,,,,,MGT7_ST14007
MGT7_ST1422,,,Europe,,,,
MGT7_ST15289,,,,,,,MGT7_ST15289
MGT7_ST15562,,,,,,,MGT7_ST15562
MGT7_ST1563,,,,,,,
MGT7_ST1594,,,Europe,,,,
MGT7_ST1607,,,Europe,,,,
MGT7_ST161,,,Africa,,,,
MGT7_ST1626,,,Africa,,,,
MGT7_ST1687,,,Africa,,,,
MGT7_ST17,,,Africa,,,,
MGT7_ST1740,,,Africa,,,,
MGT7_ST184,,,Africa,,,,
MGT7_ST1918,,,North America,,,,
MGT7_ST1924,,,North America,,,,
MGT7_ST1936,,,North America,,,,
MGT7_ST1953,,,North America,,,,
MGT7_ST1971,,,North America,,,,
MGT7_ST1978,,,North America,,,,
MGT7_ST1984,,,Europe,,,,
MGT7_ST1990,,,Europe,,,,
MGT7_ST1993,,,Europe,,,,
MGT7_ST1998,,,Europe,,,,
MGT7_ST2012,,,Europe,,,,
MGT7_ST2013,,,Europe,,,,
MGT7_ST2016,,,Europe,,,,
MGT7_ST2027,,,Europe,,,,
MGT7_ST2050,,,,,,,
MGT7_ST2058,,,Europe,,,,
MGT7_ST2060,,,Europe,,,,
MGT7_ST2064,,,Europe,,,,
MGT7_ST2087,,,Europe,,,,
MGT7_ST2089,,,Europe,,,,
MGT7_ST2090,,,Europe,,,,
MGT7_ST2094,,,North America,,,,
MGT7_ST2102,,,Europe,,,,
MGT7_ST2125,,,Europe,,,,
MGT7_ST2149,,,Europe,,,,
MGT7_ST2178,,,Europe,,,,
MGT7_ST218,,,Europe,,,,
MGT7_ST2188,,,Europe,,,,
MGT7_ST2189,,,Europe,,,,
MGT7_ST2193,,,Europe,,,,
MGT7_ST220,,,North America,,,,
MGT7_ST2275,,,Europe,,,,
MGT7_ST2311,,,Europe,,,,
MGT7_ST2372,,,Europe,,,,
MGT7_ST241,,,North America,,,,
MGT7_ST2444,,,Europe,,,,
MGT7_ST2458,,,North America,,,,
MGT7_ST2468,,,North America,,,,
MGT7_ST2469,,,North America,,,,
MGT7_ST2472,,,North America,,,,
MGT7_ST2473,,,North America,,,,
MGT7_ST2478,,,North America,,,,
MGT7_ST2480,,,North America,,,,
MGT7_ST2486,,,North America,,,,
MGT7_ST2488,,,North America,,,,
MGT7_ST2500,,,North America,,,,
MGT7_ST2526,,,North America,,,,
MGT7_ST2531,,,North America,,,,
MGT7_ST2559,,,North America,,,,
MGT7_ST2578,,,North America,,,,
MGT7_ST2615,,,North America,,,,
MGT7_ST2621,,,North America,,,,
MGT7_ST2624,,,North America,,,,
MGT7_ST2643,,,North America,,,,
MGT7_ST265,,,North America,,,,
MGT7_ST2668,,,North America,,,,
MGT7_ST267,,,North America,,,,
MGT7_ST269,,,North America,,,,
MGT7_ST273,,,North America,,,,
MGT7_ST274,,,North America,,,,
MGT7_ST277,,,North America,,,,
MGT7_ST2780,,,Europe,,,,
MGT7_ST29,,,Europe,,,,
MGT7_ST290,,,North America,,,,
MGT7_ST3089,,,North America,,,,
MGT7_ST3110,,,North America,,,,
MGT7_ST3175,,,North America,,,,
MGT7_ST3205,,,North America,,,,
MGT7_ST3215,,,North America,,,,
MGT7_ST3245,,,North America,,,,
MGT7_ST3291,,,North America,,,,
MGT7_ST3333,,,North America,,,,
MGT7_ST3334,,,North America,,,,
MGT7_ST3335,,,North America,,,,
MGT7_ST335,,,North America,,,,
MGT7_ST337,,,North America,,,,
MGT7_ST342,,,North America,,,,
MGT7_ST3426,,,North America,,,,
MGT7_ST3447,,,North America,,,,
MGT7_ST348,,,North America,,,,
MGT7_ST35,,,Europe,,,,
MGT7_ST3598,,,Europe,,,,
MGT7_ST363,,,Europe,,,,
MGT7_ST368,,,Europe,,,,
MGT7_ST3783,,,North America,,,,
MGT7_ST3825,,,North America,,,,
MGT7_ST3855,,,North America,,,,
MGT7_ST387,,,North America,,,,
MGT7_ST3879,,,North America,,,,
MGT7_ST40,,,Europe,,,,
MGT7_ST4038,,,Africa,,,,
MGT7_ST41,,,Europe,,,,
MGT7_ST4170,,,North America,,,,
MGT7_ST42,,,Europe,,,,
MGT7_ST4224,,,North America,,,,
MGT7_ST4240,,,North America,,,,
MGT7_ST425,,,Europe,,,,
MGT7_ST4268,,,Europe,,,,
MGT7_ST4277,,,Europe,,,,
MGT7_ST4278,,,Europe,,,,
MGT7_ST4295,,,Europe,,,,
MGT7_ST432,,,Europe,,,,
MGT7_ST4339,,,North America,,,,
MGT7_ST437,,,,,,,
MGT7_ST4373,,,North America,,,,
MGT7_ST439,,,Europe,,,,
MGT7_ST4409,,,North America,,,,
MGT7_ST4422,,,North America,,,,
MGT7_ST4423,,,North America,,,,
MGT7_ST4424,,,North America,,,,
MGT7_ST4428,,,North America,,,,
MGT7_ST4452,,,North America,,,,
MGT7_ST446,,,Europe,,,,
MGT7_ST447,,,Europe,,,,
MGT7_ST45,,,Europe,,,,
MGT7_ST454,,,Europe,,,,
MGT7_ST455,,,Europe,,,,
MGT7_ST4577,,,North America,,,,
MGT7_ST4596,,,North America,,,,
MGT7_ST4603,,,North America,,,,
MGT7_ST461,,,Europe,,,,
MGT7_ST4626,,,North America,,,,
MGT7_ST465,,,Europe,,,,
MGT7_ST4738,,,North America,,,,
MGT7_ST4745,,,North America,,,,
MGT7_ST4749,,,North America,,,,
MGT7_ST4765,,,North America,,,,
MGT7_ST4791,,,,,,,
MGT7_ST484,,,North America,,,,
MGT7_ST4841,,,Europe,,,,
MGT7_ST487,,,Europe,,,,
MGT7_ST488,,,Europe,,,,
MGT7_ST493,,,Europe,,,,
MGT7_ST5021,,,Europe,,,,
MGT7_ST5051,,,Europe,,,,
MGT7_ST5052,,,Europe,,,,
MGT7_ST507,,,North America,,,,
MGT7_ST5081,,,Europe,,,,
MGT7_ST512,,,North America,,,,
MGT7_ST5148,,,Europe,,,,
MGT7_ST516,,,North America,,,,
MGT7_ST52,,,Europe,,,,
MGT7_ST523,,,North America,,,,
MGT7_ST5240,,,Europe,,,,
MGT7_ST525,,,North America,,,,
MGT7_ST5253,,,Europe,,,,
MGT7_ST5267,,,Europe,,,,
MGT7_ST530,,,North America,,,,
MGT7_ST542,,,North America,,,,
MGT7_ST545,,,North America,,,,
MGT7_ST551,,,South America,,,,
MGT7_ST553,,,South America,,,,
MGT7_ST559,,,North America,,,,
MGT7_ST5608,,,North America,,,,
MGT7_ST5615,,,North America,,,,
MGT7_ST563,,,North America,,,,
MGT7_ST5630,,,North America,,,,
MGT7_ST5639,,,North America,,,,
MGT7_ST565,,,North America,,,,
MGT7_ST5663,,,North America,,,,
MGT7_ST5665,,,North America,,,,
MGT7_ST568,,,North America,,,,
MGT7_ST569,,,North America,,,,
MGT7_ST5731,,,Europe,,,,
MGT7_ST581,,,North America,,,,
MGT7_ST5880,,,Asia,,,,
MGT7_ST5991,,,Europe,,,,
MGT7_ST5998,,,Europe,,,,
MGT7_ST5999,,,Europe,,,,
MGT7_ST6000,,,Europe,,,,
MGT7_ST6006,,,Europe,,,,
MGT7_ST6036,,,Europe,,,,
MGT7_ST604,,,Africa,,,,
MGT7_ST6041,,,Europe,,,,
MGT7_ST6051,,,Europe,,,,
MGT7_ST6073,,,Europe,,,,
MGT7_ST6076,,,Europe,,,,
MGT7_ST6086,,,Europe,,,,
MGT7_ST6105,,,Europe,,,,
MGT7_ST6110,,,North America,,,,
MGT7_ST6129,,,Europe,,,,
MGT7_ST617,,,North America,,,,
MGT7_ST6186,,,Europe,,,,
MGT7_ST6187,,,Europe,,,,
MGT7_ST619,,,North America,,,,
MGT7_ST620,,,North America,,,,
MGT7_ST623,,,North America,,,,
MGT7_ST6246,,,Europe,,,,
MGT7_ST630,,,Europe,,,,
MGT7_ST631,,,Europe,,,,
MGT7_ST6317,,,Europe,,,,
MGT7_ST6346,,,Europe,,,,
MGT7_ST6402,,,Europe,,,,
MGT7_ST644,,,Europe,,,,
MGT7_ST645,,,Europe,,,,
MGT7_ST646,,,Europe,,,,
MGT7_ST651,,,Europe,,,,
MGT7_ST6656,,,Europe,,,,
MGT7_ST667,,,North America,,,,
MGT7_ST6845,,,Europe,,,,
MGT7_ST686,,,North America,,,,
MGT7_ST7002,,,North America,,,,
MGT7_ST7079,,,North America,,,,
MGT7_ST714,,,North America,,,,
MGT7_ST7177,,,Europe,,,,
MGT7_ST72,,,Europe,,,,
MGT7_ST735,,,North America,,,,
MGT7_ST737,,,North America,,,,
MGT7_ST739,,,North America,,,,
MGT7_ST7395,,,North America,,,,
MGT7_ST7484,,,North America,,,,
MGT7_ST7501,,,,,,,
MGT7_ST754,,,North America,,,,
MGT7_ST765,,,North America,,,,
MGT7_ST7722,,,Europe,,,,
MGT7_ST773,,,North America,,,,
MGT7_ST7766,,,Europe,,,,
MGT7_ST7888,,,North America,,,,
MGT7_ST8212,,,North America,,,,
MGT7_ST837,,,North America,,,,
MGT7_ST838,,,North America,,,,
MGT7_ST8384,,,North America,,,,
MGT7_ST840,,,North America,,,,
MGT7_ST8458,,,North America,,,,
MGT7_ST8464,,,North America,,,,
MGT7_ST8467,,,North America,,,,
MGT7_ST848,,,South America,,,,
MGT7_ST8520,,,North America,,,,MGT7_ST8520
MGT7_ST8523,,,North America,,,,
MGT7_ST8622,,,North America,,,,
MGT7_ST8625,,,North America,,,,
MGT7_ST8627,,,North America,,,,
MGT7_ST8629,,,North America,,,,
MGT7_ST8633,,,North America,,,,
MGT7_ST8663,,,North America,,,,
MGT7_ST8672,,,North America,,,,
MGT7_ST8755,,,North America,,,,
MGT7_ST876,,,Europe,,,,
MGT7_ST8773,,,North America,,,,
MGT7_ST881,,,Europe,,,,
MGT7_ST8850,,,North America,,,,
MGT7_ST896,,,Europe,,,,
MGT7_ST897,,,Europe,,,,
MGT7_ST8981,,,North America,,,,
MGT7_ST899,,,Europe,,,,
MGT7_ST909,,,Europe,,,,
MGT7_ST913,,,Europe,,,,
MGT7_ST925,,,Europe,,,,
MGT7_ST929,,,Europe,,,,
MGT7_ST936,,,Europe,,,,
MGT7_ST962,,,Europe,,,,
MGT7_ST9629,,,North America,,,,
MGT7_ST9638,,,North America,,,,
MGT7_ST964,,,Europe,,,,
MGT7_ST97,,,Europe,,,,
MGT7_ST971,,,Europe,,,,
MGT7_ST9712,,,North America,,,,
MGT7_ST983,,,Europe,,,,
MGT7_ST987,,,North America,,,,
MGT7_ST997,,,North America,,,,
